number,title,body
54,[WeeklyReport] Weekly report for github-analysis-report-2020 2020/8/24 to 2020/8/31,"# Weekly Report of github-analysis-report-2020

This is a weekly report of github-analysis-report-2020. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 8 (-) | 4 (-) | 3 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 3 | 6 | 21 | 22 |

## PR Overview

Thanks to contributions from community, **22** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 13 | #30 [Docs] Update report auto-update-report-1598254256892 <br>#36 [Docs] Update report auto-update-contributors-1598364000623 <br>#38 [Docs] Update report auto-update-report-1598367661697 <br>#40 [Docs] Update report auto-update-contributors-1598450401428 <br>#41 [Docs] Update report auto-update-report-1598454078531 <br>#44 [Docs] Update report auto-update-contributors-1598536801275 <br>#45 [Docs] Update report auto-update-report-1598540467019 <br>#46 [Docs] Update report auto-update-contributors-1598623201639 <br>#47 [Docs] Update report auto-update-report-1598626881117 <br>#50 [Docs] Update report auto-update-contributors-1598709600717 <br>#51 [Docs] Update report auto-update-report-1598713269001 <br>#52 [Docs] Update report auto-update-contributors-1598796001993 <br>#53 [Docs] Update report auto-update-report-1598799673935 <br> |
| @frank-zsy | 8 | #26 [Docs] Add cc by 4 license and badge <br>#31 [Refactor] Change number to thousand format. <br>#33 docs: add architecture and contents <br>#35 [Feature] Add pr uml render component <br>#37 [Docs] Add workflow docs <br>#43 community: add new committer <br>#48 [Docs] Change slack join link to badge <br>#49 [Feature] Add pr file label config <br> |
| @sunshinemingo | 1 | #29 docs:add slack link <br> |


## Code Review Statistics

github-analysis-report-2020 encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 3 |
| @sunshinemingo | 1 |


## New Contributors

We have no new contributors in this project this week.
github-analysis-report-2020 team encourages everything about contribution from community.
For more details, please refer to  .
"
58,[Feature] A stable sort algorithm for developers needed,I think we need to add a stable sort algorithm for developers if the score is same to avoid massive move of followers everyday. Maybe the socre can be sorted alphabetically by name.
69,[WeeklyReport] Weekly report for github-analysis-report-2020 2020/8/31 to 2020/9/7,"# Weekly Report of github-analysis-report-2020

This is a weekly report of github-analysis-report-2020. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 9 | 13 (-) | 5 (-) | 4 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 12 | 12 |

## PR Overview

Thanks to contributions from community, **12** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 11 | #55 [Docs] Update report auto-update-contributors-1598882401513 <br>#56 [Docs] Update report auto-update-report-1598886113036 <br>#57 [Docs] Update report auto-update-contributors-1598968801300 <br>#60 [Docs] Update report auto-update-contributors-1599055201265 <br>#61 [Docs] Update report auto-update-contributors-1599141602313 <br>#62 [Docs] Update report auto-update-report-1599145280708 <br>#63 [Docs] Update report auto-update-contributors-1599228001984 <br>#64 [Docs] Update report auto-update-report-1599231676218 <br>#65 [Docs] Update report auto-update-contributors-1599314401266 <br>#66 [Docs] Update report auto-update-report-1599318071520 <br>#67 [Docs] Update report auto-update-contributors-1599400801244 <br> |
| @frank-zsy | 1 | #59 [Refactor] Contribution sort alphabetically if score is equal <br> |


## Code Review Statistics

github-analysis-report-2020 encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report-2020 team encourages everything about contribution from community.
For more details, please refer to  .
"
77,[Feature]Control email sendings by GitHub for people who watch this project,"People who ""watch"" this project may be overwhelmed by GitHub emails, for most conversations happen in the repository is about the analysis-report-bot updating the contributor .md file and merging PRs.

I think we should build a feasible solution to control the emails sent by bot, decrease redundant information so subscribed users can only focus on what's new in the project performed by ""real people"", and these new updates won't be rushed away by emails sent by bot."
80,[WeeklyReport] Weekly report for github-analysis-report-2020 2020-9-7 to 2020-9-14,"# Weekly Report of github-analysis-report-2020

This is a weekly report of github-analysis-report-2020. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 14 (-) | 6 (-) | 4 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 7 | 7 |

## PR Overview

Thanks to contributions from community, **7** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 7 | #70 [Docs] Update report auto-update-contributors-1599487201237 <br>#71 [Docs] Update report auto-update-contributors-1599573600681 <br>#72 [Docs] Update report auto-update-contributors-1599660001643 <br>#73 [Docs] Update report auto-update-report-1599663668706 <br>#74 [Docs] Update report auto-update-contributors-1599746401352 <br>#75 [Docs] Update report auto-update-contributors-1599832801280 <br>#78 [Docs] Update report auto-update-contributors-1599919200841 <br> |


## Code Review Statistics

github-analysis-report-2020 encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report-2020 team encourages everything about contribution from community.
For more details, please refer to  .
"
82,[Docs] Add repo activity top 10 into the report template,"Now we already have the `activity-repo-top` SQL component, but we still don't add the text into the template file, so we need to add to report template to describe the SQL and show the result."
83,[Feature] Add statistics about working hour,"In [Apache Anual Report](), there are a lot of fun stuffs. Like a working hour slots graph to show activities in a day.

![image]()

We can also add this to the report to show events distribution all over the world."
103,I got 404 not found in data doc page.,"[description]
I want to know the data description and I got the 404 error after clicking the ""data"" link. In addition, the same problem occured if i switch  to ""data description"" in ""Contributing Guide"" page.
[Snapshot]
![image]()
"
104,[WeeklyReport] Weekly report for github-analysis-report 2020-9-14 to 2020-9-21,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 7 | 16 (-) | 6 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 3 | 13 | 11 |

## PR Overview

Thanks to contributions from community, **11** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 5 | #86 [Docs] Update report auto-update-contributors-1600092000522 <br>#87 [Docs] Update report auto-update-report-1600095688665 <br>#88 [Docs] Update report auto-update-contributors-1600178400826 <br>#92 [Docs] Update report auto-update-contributors-1600264800631 <br>#95 [Docs] Update report auto-update-report-1600273978894 <br> |
| @frank-zsy | 5 | #81 [Refactor] Change 2020 to analysis report for any period <br>#84 [Docs] Add website readme <br>#89 [Feature] Add working hour sql component <br>#90 [Refactor] Add more param to sql run <br>#91 [Docs] Add working hour to report template <br> |
| @heming6666 | 1 | #85 docs: add contributing guide. <br> |


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @heming6666 | 3 |
| @frank-zsy | 3 |


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
110,[Docs] Word cloud description needed,"I add a word cloud render into report and it works fine on the [web site](#/report).

![image]()

But we still need to add more description about the word cloud like what is the data source and how to implement."
116,[WeeklyReport] Weekly report for github-analysis-report 2020-9-21 to 2020-9-28,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 22 (-) | 7 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 7 | 7 |

## PR Overview

Thanks to contributions from community, **7** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 6 | #105 [Docs] Update report auto-update-contributors-1600696800849 <br>#106 [Docs] Update report auto-update-report-1600701097066 <br>#107 [Docs] Update report auto-update-contributors-1600783201474 <br>#108 [Docs] Update report auto-update-contributors-1600956000664 <br>#111 [Docs] Update report auto-update-contributors-1601042400881 <br>#112 [Docs] Update report auto-update-report-1601046671665 <br> |
| @frank-zsy | 1 | #109 [Docs] Add word cloud for GitHub <br> |


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
124,[WeeklyReport] Weekly report for github-analysis-report 2020-9-28 to 2020-10-5,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 22 (-) | 7 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
132,[WeeklyReport] Weekly report for github-analysis-report 2020-10-5 to 2020-10-12,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 22 (-) | 7 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
140,[WeeklyReport] Weekly report for github-analysis-report 2020-10-12 to 2020-10-19,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 8 | 22 (-) | 7 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
153,[WeeklyReport] Weekly report for github-analysis-report 2020-10-19 to 2020-10-26,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 1 | 1 | 2 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @analysis-report-bot | 1 | #142 [Docs] Update report auto-update-contributors-1603116003029 <br> |
| @sunshinemingo | 1 | #141 [Docs] Update slack url <br> |


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
156,[Docs] Add more details of submitting PR especially with SQL files into Contributing Guide,"Although we have a workflow in appendix of [Workflow](#/workflow), I think the workflow should be placed in Contributing Guide and explained with text to help participants better understand the process of submitting PR especially with SQL files.

Maybe a specific case can help better."
157,[Docs] Provide participants with a local environment for conducting tests.,"While the developer can use `/sql-run` to detect the committed code, there is no way to preview the effect of the code until it is detected.Even if the submission is successful, there is still a barrier to participation for the vast majority of people."
162,[feature] A Simple Data Mirroring Needed,"I think we need to a simple data mirroring for developers who want to test the SQL statement on their PC.
As <a src="""">@TechQuery</a>  said, that can also help us with simple automated tests.
I hope to use a script and a simple configuration file to connect the local project and the mirroring.
Thanks for your time."
169,[WeeklyReport] Weekly report for github-analysis-report 2020-10-26 to 2020-11-2,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
174,[Discussion] CNCF operating picture,"A diagram of how the relationship works describing the CNCF.

![CNCF]()"
178,[WeeklyReport] Weekly report for github-analysis-report 2020-11-2 to 2020-11-9,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
182,data docs link 404,"`#/data`

This link is invaild. :("
189,[WeeklyReport] Weekly report for github-analysis-report 2020-11-9 to 2020-11-16,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
198,[WeeklyReport] Weekly report for github-analysis-report 2020-11-16 to 2020-11-23,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
204,[Feature] We need a Hypertrons component for case study report.,"We may need a Hypertrons component for case study report.

The files in the repo may include:
- A folder contains all case study files include a report template and a config file for the case study.
- A folder contains all SQL components for all case study report under SQL folder.

And the component should run every day to update all case study reports and create PR to submit all the reports. May refer to  ."
205,[Feature] Global developer analysis should be added.,"Now we already have a global rank list for top 10 repos, but we still need a similar component to generate global developers rank list too. We may also use the traditional activity calculation method and add the result into the main report."
206,[Feature] Chinese projects analysis should be added into the report.,"As in GitHub report 2019 we also need to add Chinese projects analysis. In GitHub report 2019 we use a text file to indicate all main Chinese projects on GitHub to generate the report, we may use the same way to collect all Chinese projects.

But we may need to use repo_id rather than repo_name instead in case name change during 2020, and organization should be supported too."
207,"[Feature] Issue, PR response and resolve period SQL component.",We need a SQL component to calculate all issues and PRs for every project in case study. We may also support multiple return values for SQL components(should be discussed).
208,[Feature] Activity study for case study needed.,"Just like the activity report for global projects, we also need a SQL component to generate activity data for all projects in case study. May also include the count number of comments, issues, PRs and developer count."
209,[Refactor] Add more details for top repos.,"Currently we only have activity score for top 10 repos, we may also add total issue count, pr count, comment count and review count and active developers' count for every repo too."
216,[Refactor] Minor changes for top repos and developers,"I think we can make some minor changes for top repos and developers:

- The repo name is not determinate for every query as `anyLast` is indeterminate according to [clickhouse docs](), we may change to [`anyHeavy`]() which will return most frequent name for each repo and user.
- repo_id can be removed from the result.
- We can add more details into the repos' result, like language information.
- We can also add more details into the repos and developers' result, like LOC additions, deletions and commits count from pull request."
219,[WeeklyReport] Weekly report for github-analysis-report 2020-11-23 to 2020-11-30,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
232,[WeeklyReport] Weekly report for github-analysis-report 2020-11-30 to 2020-12-7,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
247,[WeeklyReport] Weekly report for github-analysis-report 2020-12-7 to 2020-12-14,"# Weekly Report of github-analysis-report

This is a weekly report of github-analysis-report. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 10 | 24 (-) | 8 (-) | 5 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

github-analysis-report encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
github-analysis-report team encourages everything about contribution from community.
For more details, please refer to  .
"
259,[Feature] Case study repo id need to be added.,"As case study hypertrons component has been merged(#255 ) we need to add all repo id list to case study folders.

The format should be like ASF config (case-study/ASF/manifest.json).

- [x] ASF
- [x] CNCF
- [x] LF AI & Data
- [x] Wuhan2020"
